Area,yearid,CO,NOX,SO2,NO2,CO2EQ,VOC,PM10,PM25,BENZ,NAPTH,BUTA,FORM,ACTE,ACROL,ETYB,DPM,POM
Austin,2020,6.44351984502282,3.27955506143917,0.0276480624597752,0.402229213909777,4215.34567864239,2.09325276681921,0.209915243830665,0.191722469870797,0.0260581182569695,0.00403135797801618,0.00308506332271463,0.0360220821573876,0.0177944611457406,0.00249279011739389,0.0314282859451396,0.170374177556369,0.00216529093520465
Austin,2021,5.64229998498922,2.89172363686885,0.026965927527101,0.370945853572721,4113.60415721685,1.90939986582089,0.189547814423179,0.172999730187314,0.0229474346549523,0.0035721461530557,0.00262185348586286,0.0323597433604164,0.0156991116389236,0.00220997587294036,0.0287493932680718,0.150435056661081,0.00189827741697155
Austin,2022,4.84108012495562,2.50389221229852,0.0262837925944268,0.339662493235664,4011.8626357913,1.72554696482257,0.169180385015693,0.154276990503831,0.0198367510529351,0.00311293432809522,0.00215864364901108,0.0286974045634452,0.0136037621321066,0.00192716162848683,0.026070500591004,0.130495935765794,0.00163126389873845
Austin,2023,4.36834223294863,2.20806095068474,0.0255777385435749,0.315321300978667,3906.43070006371,1.61805762627046,0.156410977523535,0.142555269177592,0.0183546060047775,0.00282322937359747,0.00194431672076689,0.0263184490568733,0.0123575894016881,0.00173715338999259,0.024607271844161,0.118467755310121,0.00146590184951096
Austin,2024,3.89560434094165,1.91222968907095,0.024871684492723,0.290980108721669,3800.99876433611,1.51056828771834,0.143641570031377,0.130833547851353,0.0168724609566198,0.00253352441909972,0.0017299897925227,0.0239394935503014,0.0111114166712696,0.00154714515149834,0.023144043097318,0.106439574854448,0.00130053980028348
Austin,2025,3.17314496437029,1.69535363194882,0.0241768516707452,0.284713949678007,3697.09559603035,1.34616511828062,0.128148799507812,0.116606987664909,0.0139287929578131,0.00219771505840075,0.00130606884709294,0.02133394667743,0.00950329864770083,0.00135493468117609,0.0205824834655459,0.0917004070215626,0.0011025429330375
Austin,2026,2.45626391802216,1.47847757482668,0.0234820188487674,0.278447790634345,3593.1924277246,1.1817619488429,0.112656028984247,0.102380427478465,0.0109851249590065,0.00186190569770178,0.000882147901663188,0.0187283998045586,0.00789518062413208,0.00116272421085384,0.0180209238337738,0.0769612391886767,0.000904546065791525
Austin,2027,2.28946667401033,1.31456865922155,0.022876797805111,0.264598295221276,3502.63766319305,1.12372232159396,0.100464646391856,0.0912035748062294,0.0101683638993677,0.00167845446428226,0.000759804343101855,0.0172342883765708,0.0071229567726192,0.00103959311522672,0.0173064159106389,0.065877591012395,0.00077711092964168
Austin,2028,2.1226694299985,1.15065974361642,0.0222715767614545,0.250748799808207,3412.08289866149,1.06568269434501,0.088273263799465,0.0800267221339936,0.00935160283972891,0.00149500323086275,0.000637460784540522,0.015740176948583,0.00635073292110633,0.000916462019599606,0.0165919079875039,0.0547939428361133,0.000649675793491835
Austin,2029,1.94679277024261,1.05079145841228,0.0217677501749449,0.239509529695169,3336.38314007223,1.02331202635833,0.0811708848469834,0.0735299879828517,0.00873465134469598,0.00138192477436064,0.000554622387219705,0.0148055602867032,0.00586589418955441,0.000843313174016203,0.0160105232224623,0.048749828900327,0.000575439843560237
Austin,2030,1.77091611048672,0.950923173208139,0.0212639235884353,0.228270259582132,3260.68338148296,0.980941358371638,0.0740685058945019,0.0670332538317098,0.00811769984966304,0.00126884631785854,0.000471783989898888,0.0138709436248234,0.00538105545800249,0.000770164328432799,0.0154291384574208,0.0427057149645407,0.000501203893628639
Austin,2031,1.38989435892654,0.835644092356233,0.0208706405764474,0.213832736755194,3201.58234179765,0.927640275731392,0.0684865779414281,0.0619264052697872,0.00695619494359789,0.00114629636291831,0.000293326092448698,0.0129219421008742,0.00476958284599505,0.000703747108606656,0.0145859012257006,0.0379291650970117,0.000430838066930895
Austin,2032,1.00887260736636,0.720365011504327,0.0204773575644595,0.199395213928256,3142.48130211234,0.874339193091146,0.0629046499883543,0.0568195567078646,0.00579469003753275,0.00102374640797808,0.000114868194998508,0.0119729405769249,0.00418488582127452,0.000637329888780513,0.0137426639939804,0.0331526152294828,0.000360472240233152
Austin,2033,0.960196530286339,0.650337632125229,0.0201636722421199,0.192667825573153,3095.31666211039,0.849516637703346,0.0593100115040102,0.0535412861313489,0.00555046657115099,0.000960473946226253,9.61518437812004E-05,0.0114361166765633,0.00394012912926911,0.000593011990670966,0.0134167517575179,0.0303723717152025,0.000321338261373665
Austin,2034,0.911520453206322,0.580310252746131,0.0198499869197803,0.186351595429187,3048.15202210844,0.824694082315546,0.055715373019666,0.0502630155548331,0.00530624310476924,0.000897201484474426,7.74354925638932E-05,0.0108992927762017,0.0036953724372637,0.000548694092561419,0.0130908395210554,0.0275921282009222,0.000282204282514179
Austin,2035,0.875549345822947,0.554704257325284,0.0196003689839017,0.183284674408014,3010.57544577122,0.807414820723352,0.0530615481966947,0.0478504629123222,0.00516536272760959,0.000873053150867158,7.0363364240933E-05,0.0106982038281132,0.00360268872534419,0.000531975109669069,0.0128389777724465,0.0257568145825644,0.000261291527070518
Austin,2036,0.839578238439572,0.529098261904437,0.0193507510480231,0.180217753386842,2972.998869434,0.790135559131159,0.0504077233737235,0.0454379102698113,0.00502448235044994,0.000848904817259889,6.32912359179727E-05,0.0104971148800246,0.00351000501342469,0.00051525612677672,0.0125871160238376,0.0239215009642066,0.000240378771626857
Austin,2037,0.806511476930609,0.509752510221006,0.0191553112405813,0.17975278073618,2943.75646763295,0.772678482935589,0.0460720923508688,0.0414742393816709,0.00488701719751816,0.000806827958211673,4.89965885286381E-05,0.0101617924032524,0.00334792887387891,0.000484663637736915,0.0123629666496186,0.020295056336181,0.000202859926545949
Austin,2038,0.773444715421647,0.491404775446426,0.0189598714331396,0.179287808085519,2914.5140658319,0.75522140674002,0.0417364613280142,0.0375105684935306,0.00474955204458638,0.000764751099163456,3.47019411393035E-05,0.00982646992648029,0.00318585273433314,0.000454071148697111,0.0121388172753996,0.0166686117081554,0.000165341081465042
Austin,2039,0.759021533875057,0.471286290248827,0.0188282932367088,0.175415306325704,2894.63539245725,0.745265703902987,0.0412399689889753,0.0370704471385466,0.00467666689615953,0.00075959361182135,3.45155847973899E-05,0.00976626854904339,0.00316537432678388,0.000451251964739718,0.0119749276706216,0.0166425933166465,0.000163021774391221
Austin,2040,0.744598352328467,0.451167805051227,0.0186967150402779,0.171700402669103,2874.75671908259,0.735310001065955,0.0407434766499364,0.0366303257835625,0.00460378174773268,0.000754436124479244,3.43292284554764E-05,0.00970606717160649,0.00314489591923461,0.000448432780782326,0.0118110380658436,0.0166165749251377,0.0001607024673174
Austin,2041,0.736454661720927,0.44869089617896,0.0185964113491082,0.171368482474463,2859.62394892424,0.727754560757603,0.0404364844692395,0.0363584810939983,0.00455475320762844,0.000753505250453455,3.43226813264152E-05,0.00969867248822709,0.0031417790005861,0.000448062932079552,0.0116841309194342,0.0166094487540249,0.000159432515732387
Austin,2042,0.728310971113387,0.446213987306692,0.0184961076579384,0.171036562279824,2844.49117876589,0.720199120449251,0.0401294922885427,0.0360866364044341,0.00450572466752419,0.000752574376427666,3.43161341973541E-05,0.00969127780484769,0.00313866208193758,0.000447693083376777,0.0115572237730248,0.0166023225829122,0.000158162564147374
Austin,2043,0.722455881270434,0.444169131527815,0.0184358322525213,0.170709001329215,2835.37716314197,0.715276729868492,0.0399394605065027,0.0359180597351951,0.00447341404986901,0.000751758613826307,3.43023389532959E-05,0.009683748413849,0.00313575362388718,0.000447327430749045,0.0114744890231577,0.016587980917393,0.000157375718486573
Austin,2044,0.716600791427481,0.442124275748938,0.0183755568471042,0.170381440378605,2826.26314751804,0.710354339287733,0.0397494287244626,0.0357494830659562,0.00444110343221382,0.000750942851224949,3.42885437092377E-05,0.00967621902285032,0.00313284516583678,0.000446961778121313,0.0113917542732906,0.0165736392518738,0.000156588872825772
Austin,2045,0.712972481251199,0.441079909147447,0.0183347940330236,0.170267163352719,2820.11623579264,0.705355875063105,0.0396386682532466,0.0356514365594194,0.00441242457776525,0.000750563806267084,3.42866350706572E-05,0.00967329441697018,0.00313158818894266,0.000446814810329155,0.0113075265132352,0.0165721584198764,0.000156110812596825
Austin,2046,0.709344171074918,0.440558891830733,0.018294031218943,0.170152886326832,2813.96932406723,0.700357410838478,0.0395279077820305,0.0355533900528826,0.00438374572331668,0.000750184761309218,3.42847264320767E-05,0.00967036981109004,0.00313033121204853,0.000446667842536996,0.0112232987531797,0.0165706775878789,0.000155632752367878
Austin,2047,0.702237917565071,0.440052935600761,0.0182695429849105,0.170025749124761,2810.26417426765,0.697733477500151,0.0393297490409168,0.0353780390069005,0.00436389114332769,0.000749710612231662,3.42821611667432E-05,0.00966671887094606,0.00312876991722533,0.000446484282622173,0.0111791813170612,0.0165686419277336,0.000154839442882698
Austin,2048,0.695131664055225,0.439546979370789,0.0182450547508779,0.16989861192269,2806.55902446806,0.695109544161824,0.0391315902998031,0.0352026879609184,0.0043440365633387,0.000749236463154106,3.42795959014097E-05,0.00966306793080207,0.00312720862240212,0.000446300722707349,0.0111350638809427,0.0165666062675882,0.000154046133397518
Austin,2049,0.693738640959054,0.43930271543195,0.0182299785865325,0.169838434882877,2804.28615750372,0.693315547992825,0.0390476338670851,0.035128350416926,0.00433206969961475,0.000749015734423146,3.427890491281E-05,0.00966142741287968,0.00312648802121629,0.000446217703306218,0.0111048204001918,0.0165656208409928,0.000153701595708391
Austin,2050,0.692345617862884,0.439058451493111,0.0182149024221872,0.169778257843063,2802.01329053938,0.691521551823826,0.0389636774343671,0.0350540128729335,0.00432010283589079,0.000748795005692186,3.42782139242104E-05,0.00965978689495728,0.00312576742003046,0.000446134683905086,0.0110745769194409,0.0165646354143973,0.000153357058019264
Beaumont,2020,8.82183322752826,3.14132813681499,0.0278213580091915,0.388911435150476,4229.53036406636,2.09770581591874,0.167865928113088,0.152988293204999,0.0331689869258298,0.00380778145798912,0.00369118785926048,0.0324774327496016,0.0178321197793139,0.00217115212393537,0.0325593770455725,0.126941068156157,0.00190037064877016
Beaumont,2021,7.54563517001225,2.73516147198461,0.0271716456402373,0.351110246684584,4132.31025092304,1.90399806945061,0.153745218609629,0.140008901500039,0.0283270312713739,0.00333728809076291,0.00305091679271641,0.0289130235616994,0.0154590146592,0.00192041713077629,0.0295210199428766,0.113146951909584,0.00166589685607403
Beaumont,2022,6.28852033533622,2.32899480715423,0.0265219332712832,0.313309058218692,4035.09013777971,1.71029032298247,0.13962450910617,0.127029509795079,0.023485075616918,0.00286679472353671,0.00241064572617233,0.0253486143737973,0.0130859095390861,0.0016696821376172,0.0264874396609684,0.0993528356630122,0.00143142306337791
Beaumont,2023,5.47122201585444,2.03055113337905,0.0258263443700457,0.286193958048443,3931.08849801123,1.59543771784229,0.129685619579732,0.117904586471184,0.0208525456130246,0.00255585002366618,0.00206009139313323,0.0229313556433226,0.0116004379267451,0.00149116235922975,0.0248019217916635,0.089947465887235,0.00127447823255047
Beaumont,2024,4.65392369637266,1.73210745960387,0.0251307554688083,0.259078857878194,3827.08685824275,1.4805851127021,0.119746730053294,0.108779663147288,0.0182200156091312,0.00224490532379566,0.00170953706009414,0.0205140969128479,0.0101149663144042,0.00131264258084229,0.0231164039223586,0.0805420961114578,0.00111753340172303
Beaumont,2025,3.75885734290932,1.50928968817971,0.0244303362545111,0.247119133847264,3722.101353392,1.32575705990894,0.108514349255188,0.0984668469817507,0.0147232199619793,0.00191878227104699,0.00126119418634119,0.0180642911220161,0.00847413624123305,0.00114093209333532,0.0206353337748624,0.0699022156622959,0.000947758695461208
Beaumont,2026,2.86379098944599,1.28647191675554,0.0237299170402139,0.235159409816333,3617.11584854126,1.17092900711577,0.0972819684570823,0.088154030816213,0.0112264243148275,0.00159265921829833,0.000812851312588236,0.0156144853311844,0.00683330616806188,0.000969221605828352,0.0181542636273662,0.0592623352131341,0.00077798398919939
Beaumont,2027,2.6285963095288,1.13098996955887,0.0231102999582049,0.220076522168256,3524.16818033159,1.12336076490828,0.0880884579685812,0.0797297859289188,0.010265434074654,0.00142783579083362,0.000687333513203825,0.0142927119936758,0.00611556361981513,0.000864418962076563,0.017585440109201,0.0510226733604213,0.000674388646940218
Beaumont,2028,2.39340162961162,0.975508022362192,0.0224906828761959,0.204993634520179,3431.22051212192,1.07579252270079,0.0788949474800802,0.0713055410416246,0.00930444383448048,0.00126301236336891,0.000561815713819414,0.0129709386561672,0.00539782107156839,0.000759616318324774,0.0170166165910359,0.0427830115077086,0.000570793304681046
Beaumont,2029,2.16185568602668,0.882330729322348,0.0219583451465155,0.194265544734208,3351.21330454946,1.04090437859122,0.0729432717931218,0.0658670632469125,0.00859998087139502,0.00115533990727926,0.000475183943738244,0.0121023759863874,0.00492293236813168,0.000692932942861546,0.0165540178361425,0.0378777033911319,0.000504997146337093
Beaumont,2030,1.93030974244175,0.789153436282504,0.0214260074168351,0.183537454948237,3271.206096977,1.00601623448165,0.0669915961061633,0.0604285854522004,0.00789551790830956,0.00104766745118962,0.000388552173657075,0.0112338133166077,0.00444804366469498,0.000626249567398318,0.0160914190812491,0.0329723952745553,0.00043920098799314
Beaumont,2031,1.54742069581698,0.688466384001003,0.0209943053738471,0.170534217608747,3206.27816414833,0.961188610344834,0.0623971910054024,0.0562340465928628,0.00677545079076936,0.0009366980991889,0.000240043596418715,0.0103887888225245,0.0038934293324715,0.000567176137666436,0.0153986519567297,0.0292909552372294,0.000379048347977063
Beaumont,2032,1.16453164919221,0.587779331719503,0.020562603330859,0.157647268990331,3141.35023131967,0.916360986208019,0.0578027859046415,0.0520395077335252,0.00565538367322915,0.000825728747188184,9.17783156637597E-05,0.00954376432844128,0.00338160208110594,0.000508102707934555,0.0147058848322104,0.0256095151999034,0.000318895707960985
Beaumont,2033,1.10163262598508,0.529893259903474,0.0202005846134625,0.152098883232611,3086.98467212915,0.894066818807914,0.0546810990907716,0.0492029137289478,0.00541764791927335,0.00077272971462973,7.65331420353732E-05,0.00909550364957568,0.00317554266064235,0.000471557131215938,0.0144135403641599,0.0234877557159052,0.000286235861001817
Beaumont,2034,1.03873360277794,0.472007188087446,0.019838565896066,0.146550497474891,3032.61911293864,0.871772651407809,0.0515594122769016,0.0463663197243704,0.00517991216531755,0.000719730682071276,6.12879684069867E-05,0.00864724297071007,0.00296948324017876,0.000435011554497322,0.0141211958961094,0.021365996231907,0.000253576014042649
Beaumont,2035,0.99017396200361,0.44703859029687,0.0195404526768357,0.143413416011981,2987.73339914531,0.854470477544965,0.0490650456265485,0.0441060332979646,0.00503239159939994,0.000697372596650842,5.50127893603758E-05,0.00846123997234827,0.00288306453288101,0.000419865103601147,0.0138702746961599,0.0198476970035699,0.000234627871217332
Beaumont,2036,0.941614321229281,0.422882983086311,0.0192423394576053,0.140276334549071,2942.84768535197,0.83716830368212,0.0465706789761953,0.0418457468715587,0.00488487103348234,0.000675014511230407,4.87376103137649E-05,0.00827523697398647,0.00279664582558325,0.000404718652704972,0.0136193534962104,0.0183293977752328,0.000215679728392016
Beaumont,2037,0.899391387902142,0.404818229932062,0.0190055982324679,0.139026398752321,2907.31281588227,0.818652041543828,0.0430377156189934,0.0386269298174398,0.00474219559339417,0.000641311020520126,3.77480150000054E-05,0.00800468133866161,0.00266637322592089,0.000380652632888001,0.0133653157521394,0.0156864250457147,0.000186398204916053
Beaumont,2038,0.857168454575003,0.386753476777812,0.0187688570073306,0.137776462955571,2871.77794641256,0.800135779405537,0.0395047522617915,0.0354081127633208,0.004599520153306,0.000607607529809845,2.67584196862458E-05,0.00773412570333676,0.00253610062625853,0.000356586613071031,0.0131112780080684,0.0130434523161966,0.00015711668144009
Beaumont,2039,0.833707688019786,0.369538870683755,0.0186039796137152,0.134437780867302,2846.89007951319,0.788001205950422,0.0388702401620549,0.0348459801666081,0.00451206072591503,0.000602522572621222,2.660375280783E-05,0.0076774711316574,0.0025158075480789,0.000353954305194471,0.0129122467290301,0.0130200980420341,0.000154193539590368
Beaumont,2040,0.810246921464568,0.352324264589697,0.0184391022200998,0.131099098779032,2822.00221261382,0.775866632495308,0.0382357280623182,0.0342838475698954,0.00442460129852407,0.0005974376154326,2.64490859294142E-05,0.00762081655997804,0.00249551446989926,0.000351321997317911,0.0127132154499918,0.0129967437678715,0.000151270397740647
