Area,yearid,Processtype,CO,NOX,SO2,NO2,CO2EQ,VOC,PM10,PM25,BENZ,NAPTH,BUTA,FORM,ACTE,ACROL,ETYB,DPM,POM
Fort Worth,2049,APU,36.0000003576279,28.1909573674202,0.0129717999370769,1.60688539594412,2012.04004669189,7.53263002634048,1.85625996440649,1.70774996653199,0.0590214494732209,0.0681402018526569,0.0219784007640556,0.589241979643703,0.267850995529443,0.0498785006348044,0.0199976990988944,1.85625996440649,0.0257715393351745
Fort Worth,2049,Extnd_Exhaust,89.126899600029,206.463984012604,0.0542441009311005,82.1726460456848,9811.37007141113,28.1569998860359,0.369925991399214,0.340330003295094,0.363225013017654,0.459742010571063,0.0225255995173939,6.12132976949215,1.95128003507853,0.281569989398122,0.177388995885849,0.369925991399214,0.0367640883892995
Fort Worth,2050,APU,36.0000003576279,28.1909573674202,0.0129717999370769,1.60688539594412,2012.04004669189,7.53263002634048,1.85625996440649,1.70774996653199,0.0590214994736016,0.0681402018526569,0.0219784007640556,0.589241979643703,0.267850995529443,0.0498785006348044,0.0199976990988944,1.85625996440649,0.0257715393351745
Fort Worth,2050,Extnd_Exhaust,89.126899600029,206.463984012604,0.0542441009311005,82.1726460456848,9811.37007141113,28.1569998860359,0.369925991399214,0.340330003295094,0.363225013017654,0.459742010571063,0.0225255995173939,6.12132976949215,1.95128003507853,0.281569989398122,0.177388995885849,0.369925991399214,0.0367640886985296
Houston,2020,APU,36.0000003576279,26.5265313982964,0.0129717999370769,1.51201274991035,2012.03003311157,7.53263002634048,1.85625996440649,1.70774996653199,0.0590214994736016,0.0681402018526569,0.0219784007640556,0.589241979643703,0.267850995529443,0.0498785006348044,0.0199976990988944,1.85625996440649,0.025771549379634
Houston,2020,Extnd_Exhaust,89.2644605489913,197.63556834287,0.0548926001647487,63.7148419639525,9716.41380310059,33.2192119793035,1.3316170531325,1.2250801930204,0.382904650759883,0.476800477343204,0.0456526038051379,5.96813329524593,1.9981389446184,0.30175927819073,0.176444292001179,1.3316170531325,0.0607702421447902
Houston,2021,APU,36.0000003576279,26.5384108424187,0.0129717999370769,1.51268988102674,2012.03003311157,7.53263002634048,1.85625996440649,1.70774996653199,0.0590214994736016,0.0681402018526569,0.0219784007640556,0.589241979643703,0.267850995529443,0.0498785006348044,0.0199976990988944,1.85625996440649,0.025771549379634
Houston,2021,Extnd_Exhaust,89.2717261101352,197.321591808475,0.0547869501751848,65.7807761322292,9729.87682342529,32.4308525449596,1.18395164329559,1.08923034975305,0.379798139225386,0.474083466368029,0.0420684676109886,5.99084047606448,1.99056462489534,0.298587288254566,0.176561189941367,1.18395164329559,0.0570493710274125
Houston,2022,APU,36.0000003576279,26.550290286541,0.0129717999370769,1.51336701214314,2012.03003311157,7.53263002634048,1.85625996440649,1.70774996653199,0.0590214994736016,0.0681402018526569,0.0219784007640556,0.589241979643703,0.267850995529443,0.0498785006348044,0.0199976990988944,1.85625996440649,0.025771549379634
Houston,2022,Extnd_Exhaust,89.2789917704649,197.00761527408,0.0546813001856208,67.8467103005059,9743.33984375,31.6424933229573,1.03628650167957,0.953380770981312,0.376691627690889,0.471366488854983,0.0384843315405305,6.01354801451089,1.98299030517228,0.295415299366141,0.176678088110748,1.03628650167957,0.0533285049008159
Houston,2023,APU,36.0000003576279,26.5621704757214,0.0129717999370769,1.51404418796301,2012.03003311157,7.53263002634048,1.85625996440649,1.70774996653199,0.0590214994736016,0.0681402018526569,0.0219784007640556,0.589241979643703,0.267850995529443,0.0498785006348044,0.0199976990988944,1.85625996440649,0.025771549379634
Houston,2023,Extnd_Exhaust,89.25615012052,196.830963528104,0.0546338501153514,69.3415232936532,9748.99998474121,31.3039561444893,0.970099969534203,0.892489532008767,0.375360103404091,0.470203893450162,0.036944062274415,6.02337468226324,1.97975475181011,0.294054674799554,0.176730301891439,0.970099969534203,0.051725589208019
Houston,2024,APU,36.0000003576279,26.5740506649017,0.0129717999370769,1.51472136378288,2012.03003311157,7.53263002634048,1.85625996440649,1.70774996653199,0.0590214994736016,0.0681402018526569,0.0219784007640556,0.589241979643703,0.267850995529443,0.0498785006348044,0.0199976990988944,1.85625996440649,0.025771549379634
Houston,2024,Extnd_Exhaust,89.2333084866405,196.654311782127,0.054586400045082,70.8363362868004,9754.66012573242,30.9654189660214,0.903913667891175,0.831598436459899,0.374028582384199,0.46904129804534,0.0354037931592757,6.03320136212278,1.97651919844793,0.292694050451246,0.17678251567213,0.903913667891175,0.050122673515222
Houston,2025,APU,36.0000003576279,26.5817873477936,0.0129717999370769,1.51516234315932,2012.03003311157,7.53263002634048,1.85625996440649,1.70774996653199,0.0590214994736016,0.0681402018526569,0.0219784007640556,0.589241979643703,0.267850995529443,0.0498785006348044,0.0199976990988944,1.85625996440649,0.0257715443574043
Houston,2025,Extnd_Exhaust,89.2096840621671,196.328604660783,0.0545222503133118,71.7418899535724,9764.87012481689,30.4475210397504,0.805372664472088,0.740941217169166,0.372024872365728,0.467309760403623,0.0330338907153873,6.04913350586139,1.97178761514442,0.29063488576594,0.17688605069452,0.805372664472088,0.0476632561305037
Houston,2026,APU,36.0000003576279,26.5895240306854,0.0129717999370769,1.51560332253575,2012.03003311157,7.53263002634048,1.85625996440649,1.70774996653199,0.0590214994736016,0.0681402018526569,0.0219784007640556,0.589241979643703,0.267850995529443,0.0498785006348044,0.0199976990988944,1.85625996440649,0.0257715393351745
Houston,2026,Extnd_Exhaust,89.1860596376937,196.002897539438,0.0544581005815417,72.6474436203443,9775.08012390137,29.9296231134795,0.706831780262291,0.650283997878432,0.370021162760167,0.465578222761906,0.0306639901850758,6.0650656496,1.96705603184091,0.288575721298912,0.176989585803312,0.706831780262291,0.0452038387457854
Houston,2027,APU,36.0000003576279,26.5931177437305,0.0129717999370769,1.51580818556249,2012.03003311157,7.53263002634048,1.85625996440649,1.70774996653199,0.0590214994736016,0.0681402018526569,0.0219784007640556,0.589241979643703,0.267850995529443,0.0498785006348044,0.0199976990988944,1.85625996440649,0.0257715443574043
Houston,2027,Extnd_Exhaust,89.1774428454228,195.764313559615,0.0544115509837866,73.3429483494565,9782.91026306152,29.547692825261,0.633523303200491,0.582840005401522,0.368568845970003,0.464337779148082,0.0289054475497323,6.07751633078806,1.96373557665356,0.287074130511883,0.177084098143155,0.633523303200491,0.043380025927784
